W2_WeightSocDemTurnAttrition	region	age	gender	W1_news_socmed	W1_news_important	W1_news_notime	W1_news_toomuch	W1_news_switchaway	W1_news_notinteresting	W2_news_socmed	W2_news_important	W2_news_notime	W2_news_toomuch	W2_news_switchaway	W2_news_notinteresting	congruence	congruence_EU	avoidance	education	interest	knowledge	internal_efficacy	external_efficacy	avoidance_alt	sample
	0.0	53	0	1	1	3	2	1	2	2	2	3	4	1	2	0.95628405	0.95628405	1.6666666	2	6.0	1.0	1.5	1.0	-0.8522898	1.0
0.39006633	0.0	75	0	2	1	3	3	1	1	1	1	1	1	4	2	2.043716	1.7428818	1.8333334	2	7.0	1.0	1.5	2.0	-0.7845615	1.0
0.4868771	0.0	73	1	1	2	3	3	1	1	1	2	2	2	1	1	1.043716	1.043716	1.8333334	1	8.0	2.0	3.5	2.0	-0.76359034	1.0
0.47530794	0.0	77	1	2	2	5	3	2	2	4	1	2	3	2	3	6.742882	6.742882	2.6666667	1	8.0	2.0	1.5	1.5	0.12411731	1.0
2.8858652	0.0	51	1	1	2	2	4	2	2	2	2	4	2	3	1	0.0480299	0.0480299	2.1666667	1	6.0	3.0	2.5	1.0	-0.32131055	1.0
	0.0	43	1	1	2	3	2	1	1									1.6666666	2	7.0	3.0	4.0	1.0	-0.9337444	
	0.0	54	0	1	1	1	1	1	2	1	1	1	1	1	2	0.44434834	0.44434834	1.1666666	2	9.0	4.0	4.5	2.5	-1.3323787	1.0
	0.0	72	0	3	1	1	2	1	1	1	1	1	1	1	1	1.956284	1.956284	1.5	1	10.0	2.0	3.5	2.5	-1.1139709	1.0
	0.0	58	1	5	4	1	5	3	5	4	5		5	5	5			3.8333333	1	0.0	0.0	1.0	2.0	1.5731996	
	0.0	54	0	5	4	1	1	4	5									3.3333333	2	5.0	3.0	3.0	1.0	1.0665714	
	0.0	67	0	2	1	3	2	1	2	1	1	1	1	1	1	1.043716	0.68478584	1.8333334	1	8.0	4.0	2.5	2.0	-0.70161027	1.0
0.5230129	0.0	53	1	5	3	1	1	3	3	4	2	1	1	2		1.7428818	1.7428818	2.6666667	2	0.0	1.0	1.0	1.0	0.21472213	1.0
1.00309	0.0	50	1	1	2	1	4	1	2	2	1	4	2	1	1	0.44434834	0.44434834	1.8333334	1	7.0	2.0	3.5	2.0	-0.65026593	1.0
0.5319495	0.0	49	1	4	2	2	2	1	2	2	2	2	2	2	2	2.3994823	0.31521416	2.1666667	2	4.0	4.0	1.5	2.0	-0.3835678	1.0
5.7823834	0.0	75	0	3	1	2	4	2	3	1	2	1	4	1	3			2.5	0	6.0	1.0	1.0	1.0	0.061503153	
0.9900135	0.0	53	0	4	1	2	1	1	2	2	1	2	1	1	1	3.5556517	2.043716	1.8333334	2	10.0	4.0	5.0	1.5	-0.72537255	1.0
0.3618988	0.0	66	0	2	3		3	3	2	2	2	4	4	3	2	0.60051775	0.60051775		2	7.0	4.0	3.5	2.0		
	0.0	52	0	2	5	3	1	1	2									2.3333333	1	8.0	3.0	4.0	2.0	-0.18516137	
	0.0	53	0	3	1	1	3	2	3	2	2	3	1	1	2	0.31521416	0.0480299	2.1666667	1	3.0	3.0	4.5	4.0	-0.26361832	1.0
1.1823268	0.0	42	1	1	2	4	2	1	1	1	2	2	2	2	1	2.7428818	1.0480299	1.8333334	1	6.0	4.0	3.0	2.0	-0.77877694	1.0
	0.0	54	1		1	5		1											2	0.0	2.0				
1.0416946	0.0	55	1	1	2	2	5	1	2	4	1	4	3	2	2	2.7428818	2.7428818	2.1666667	1	7.0	2.0	2.0	4.0	-0.32514444	1.0
1.6617379	0.0	19	1	1	5	1	2	1	1	1	1	1	1	1	1	0.043715954	0.043715954	1.8333334	1	7.0	3.0	1.5	1.5	-0.7287271	1.0
0.6072044	0.0	30	1	3	2	3	3	4	2	4	2	4	2	3	4	0.043715954	0.043715954	2.8333333	2	3.0	3.0	2.0	3.5	0.3128378	1.0
0.5607059	0.0	44	1	4	4	4	4	4	4	4	4	4	4	4	4	0.44434834	0.44434834	4.0	2	6.0	2.0	3.0	3.0	1.6381509	1.0
	0.0	33	1	4	5	5	3	4	4	4	5	4	1	4	4	6.3994823	1.956284	4.1666665	2	0.0	0.0	2.0	1.5	1.794615	1.0
0.76514804	0.0	69	0	2	1	2	2	1	1	2	1	1	1	1	2	1.956284	1.956284	1.5	1	9.0	2.0	2.0	4.0	-1.109683	1.0
5.7823834	0.0	78	1	1	2	3	3	3	1	3	2	3	3		3	5.742882	5.742882	2.1666667	0	5.0	1.0	1.0	3.0	-0.41561455	1.0
	0.0	48	1	3	2	4	4	3	2									3.0	1	3.0	2.0	1.5	1.0	0.46397138	
	0.0	23	1	4	2	4	4	2	2	4	3	4	4	2	2	1.043716	0.68478584	3.0	2	5.0	2.0	3.0		0.44066304	
